	Gene
10489	MRPL15
10490	MRPL16
10491	MRPL17
10492	MRPL18
10493	MRPL19
10494	MRPL2
10495	MRPL20
10496	MRPL21
10497	MRPL22
10498	MRPL23
10499	MRPL24
10500	MRPL27
10501	MRPL28
10502	MRPL3
10503	MRPL30
10504	MRPL32
10505	MRPL33
10506	MRPL34
10507	MRPL35
10508	MRPL36
10509	MRPL37
10510	MRPL38
10511	MRPL39
10512	MRPL4
10513	MRPL40
10514	MRPL41
10515	MRPL42
10516	MRPL43
10517	MRPL44
10518	MRPL45
10519	MRPL46
10520	MRPL47
10521	MRPL48
10522	MRPL49
10523	MRPL50
10524	MRPL51
10525	MRPL52
10526	MRPL53
10527	MRPL54
10528	MRPL55
10529	MRPL57
10530	MRPL9
10531	MRPS10
10532	MRPS11
10533	MRPS12
10534	MRPS14
10535	MRPS15
10536	MRPS16
10537	MRPS17
10538	MRPS18A
10539	MRPS18B
10540	MRPS18C
10541	MRPS2
10542	MRPS21
10543	MRPS22
10544	MRPS23
10545	MRPS24
10546	MRPS25
10547	MRPS26
10548	MRPS27
10549	MRPS28
10550	MRPS30
10551	MRPS31
10552	MRPS33
10553	MRPS34
10554	MRPS35
10555	MRPS36
10556	MRPS5
10557	MRPS6
10558	MRPS7
10559	MRPS9
10560	MRRF
10561	MRS2
10562	MRTO4
10563	MRVI1
10564	MS4A1
10565	MS4A10
10566	MS4A12
10567	MS4A13
10568	MS4A14
10569	MS4A15
10570	MS4A18
10571	MS4A2
10572	MS4A3
10573	MS4A4A
10574	MS4A4E
10575	MS4A5
10576	MS4A6A
10577	MS4A6E
10578	MS4A7
10579	MS4A8
10580	MSANTD1
10581	MSANTD2
10582	MSANTD3
10583	MSANTD3-TMEFF1
10584	MSANTD4
10585	MSC
10586	MSGN1
10587	MSH2
10588	MSH3
10589	MSH4
10590	MSH5
10591	MSH5-SAPCD1
10592	MSH6
10593	MSI1
10594	MSI2
10595	MSL1
10596	MSL2
10597	MSL3
10598	MSLN
10599	MSLNL
10600	MSMB
10601	MSMO1
10602	MSMP
10603	MSN
10604	MSR1
10605	MSRA
10606	MSRB1
10607	MSRB2
10608	MSRB3
10609	MSS51
10610	MST1
10611	MST1R
10612	MSTN
10613	MSTO1
10614	MSX1
10615	MSX2
10616	MT1A
10617	MT1B
10618	MT1E
10619	MT1F
10620	MT1G
10621	MT1H
10622	MT1HL1
10623	MT1M
10624	MT1X
10625	MT2A
10626	MT3
10627	MT4
10628	MTA1
10629	MTA2
10630	MTA3
10631	MTAP
10632	MTBP
10633	MTCH1
10634	MTCH2
10635	MTCL1
10636	MTCP1
10637	MTDH
10638	MTERF1
10639	MTERF2
10640	MTERF3
10641	MTERF4
10642	MTF1
10643	MTF2
10644	MTFMT
10645	MTFP1
10646	MTFR1
10647	MTFR1L
10648	MTFR2
10649	MTG1
10650	MTG2
10651	MTHFD1
10652	MTHFD1L
10653	MTHFD2
10654	MTHFD2L
10655	MTHFR
10656	MTHFS
10657	MTHFSD
10658	MTIF2
10659	MTIF3
10660	MTL5
10661	MTM1
10662	MTMR1
10663	MTMR10
10664	MTMR11
10665	MTMR12
10666	MTMR14
10667	MTMR2
10668	MTMR3
10669	MTMR4
10670	MTMR6
10671	MTMR7
10672	MTMR8
10673	MTMR9
10674	MTNR1A
10675	MTNR1B
10676	MTO1
10677	MTOR
10678	MTPAP
10679	MTPN
10680	MTR
10681	MTRF1
10682	MTRF1L
10683	MTRR
10684	MTSS1
10685	MTSS1L
10686	MTTP
10687	MTURN
10688	MTUS1
10689	MTUS2
10690	MTX1
10691	MTX2
10692	MTX3
10693	MUC1
10694	MUC12
10695	MUC13
10696	MUC15
10697	MUC16
10698	MUC17
10699	MUC2
10700	MUC20
10701	MUC21
10702	MUC22
10703	MUC3A
10704	MUC4
10705	MUC5AC
10706	MUC5B
10707	MUC6
10708	MUC7
10709	MUCL1
10710	MUL1
10711	MUM1
10712	MUM1L1
10713	MURC
10714	MUS81
10715	MUSK
10716	MUSTN1
10717	MUT
10718	MUTYH
10719	MVB12A
10720	MVB12B
10721	MVD
10722	MVK
10723	MVP
10724	MX1
10725	MX2
10726	MXD1
10727	MXD3
10728	MXD4
10729	MXI1
10730	MXRA5
10731	MXRA7
10732	MXRA8
10733	MYADM
10734	MYADML2
10735	MYB
10736	MYBBP1A
10737	MYBL1
10738	MYBL2
10739	MYBPC1
10740	MYBPC2
10741	MYBPC3
10742	MYBPH
10743	MYBPHL
10744	MYC
10745	MYCBP
10746	MYCBP2
10747	MYCBPAP
10748	MYCL
10749	MYCN
10750	MYCT1
10751	MYD88
10752	MYDGF
10753	MYEF2
10754	MYEOV
10755	MYEOV2
10756	MYF5
10757	MYF6
10758	MYH1
10759	MYH10
10760	MYH11
10761	MYH13
10762	MYH14
10763	MYH15
10764	MYH2
10765	MYH3
10766	MYH4
10767	MYH6
10768	MYH7
10769	MYH7B
10770	MYH8
10771	MYH9
10772	MYL1
10773	MYL10
10774	MYL12A
10775	MYL12B
10776	MYL2
10777	MYL3
10778	MYL4
10779	MYL5
10780	MYL6
10781	MYL6B
10782	MYL7
10783	MYL9
10784	MYLIP
10785	MYLK
10786	MYLK2
10787	MYLK3
10788	MYLK4
10789	MYLPF
10790	MYNN
10791	MYO10
10792	MYO15A
10793	MYO15B
10794	MYO16
10795	MYO18A
10796	MYO18B
10797	MYO19
10798	MYO1A
10799	MYO1B
10800	MYO1C
10801	MYO1D
10802	MYO1E
10803	MYO1F
10804	MYO1G
10805	MYO1H
10806	MYO3A
10807	MYO3B
10808	MYO5A
10809	MYO5B
10810	MYO5C
10811	MYO6
10812	MYO7A
10813	MYO7B
10814	MYO9A
10815	MYO9B
10816	MYOC
10817	MYOCD
10818	MYOD1
10819	MYOF
10820	MYOG
10821	MYOM1
10822	MYOM2
10823	MYOM3
10824	MYOT
10825	MYOZ1
10826	MYOZ2
10827	MYOZ3
10828	MYPN
10829	MYPOP
10830	MYRF
10831	MYRFL
10832	MYRIP
10833	MYSM1
10834	MYT1
10835	MYT1L
10836	MYZAP
10837	MZB1
10838	MZF1
10839	MZT1
10840	MZT2A
10841	MZT2B
10842	N4BP1
10843	N4BP2
10844	N4BP2L1
10845	N4BP2L2
10846	N4BP3
10847	N6AMT1
10848	N6AMT2
10849	NAA10
10850	NAA11
10851	NAA15
10852	NAA16
10853	NAA20
10854	NAA25
10855	NAA30
10856	NAA35
10857	NAA38
10858	NAA40
10859	NAA50
10860	NAA60
10861	NAAA
10862	NAALAD2
10863	NAALADL1
10864	NAALADL2
10865	NAB1
10866	NAB2
10867	NABP1
10868	NABP2
10869	NACA
10870	NACA2
10871	NACAD
10872	NACC1
10873	NACC2
10874	NADK
10875	NADK2
10876	NADSYN1
10877	NAE1
10878	NAF1
10879	NAGA
10880	NAGK
10881	NAGLU
10882	NAGPA
10883	NAGS
10884	NAIF1
10885	NAIP
10886	NALCN
10887	NALP2
10888	NALP7
10889	NAMPT
10890	NANOG
10891	NANOGNB
10892	NANOGP8
10893	NANOS1
10894	NANOS2
10895	NANOS3
10896	NANP
10897	NANS
10898	NAP1L1
10899	NAP1L2
10900	NAP1L3
10901	NAP1L4
10902	NAP1L5
10903	NAP1L6
10904	NAPA
10905	NAPB
10906	NAPEPLD
10907	NAPG
10908	NAPRT
10909	NAPSA
10910	NARF
10911	NARFL
10912	NARS
10913	NARS2
10914	NASP
10915	NAT1
10916	NAT10
10917	NAT14
10918	NAT16
10919	NAT2
10920	NAT6
10921	NAT8
10922	NAT8L
10923	NAT9
10924	NATD1
10925	NAV1
10926	NAV2
10927	NAV3
10928	NBAS
10929	NBEA
10930	NBEAL1
10931	NBEAL2
10932	NBL1
10933	NBN
10934	NBPF1
10935	NBPF10
10936	NBPF11
10937	NBPF12
10938	NBPF14
10939	NBPF15
10940	NBPF19
10941	NBPF20
10942	NBPF26
10943	NBPF3
10944	NBPF4
10945	NBPF6
10946	NBPF9
10947	NBR1
10948	NCALD
10949	NCAM1
10950	NCAM2
10951	NCAN
10952	NCAPD2
10953	NCAPD3
10954	NCAPG
10955	NCAPG2
10956	NCAPH
10957	NCAPH2
10958	NCBP1
10959	NCBP2
10960	NCBP2-AS2
10961	NCBP2L
10962	NCCRP1
10963	NCDN
10964	NCEH1
10965	NCF1
10966	NCF2
10967	NCF4
10968	NCK1
10969	NCK2
10970	NCKAP1
10971	NCKAP1L
10972	NCKAP5
10973	NCKAP5L
10974	NCKIPSD
10975	NCL
10976	NCLN
10977	NCMAP
10978	NCOA1
10979	NCOA2
10980	NCOA3
10981	NCOA4
10982	NCOA5
10983	NCOA6
10984	NCOA7
10985	NCOR1
10986	NCOR2
10987	NCR1
10988	NCR2
10989	NCR3
10990	NCR3LG1
10991	NCS1
10992	NCSTN
10993	NDC1
10994	NDC80
10995	NDE1
10996	NDEL1
10997	NDFIP1
10998	NDFIP2
10999	NDN
11000	NDNF
11001	NDNL2
11002	NDOR1
11003	NDP
11004	NDRG1
11005	NDRG2
11006	NDRG3
11007	NDRG4
11008	NDST1
11009	NDST2
11010	NDST3
11011	NDST4
11012	NDUFA1
11013	NDUFA10
11014	NDUFA11
11015	NDUFA12
11016	NDUFA13
11017	NDUFA2
11018	NDUFA3
11019	NDUFA4
11020	NDUFA4L2
11021	NDUFA5
11022	NDUFA6
11023	NDUFA7
11024	NDUFA8
11025	NDUFA9
11026	NDUFAB1
11027	NDUFAF1
11028	NDUFAF2
11029	NDUFAF3
11030	NDUFAF4
11031	NDUFAF5
11032	NDUFAF6
11033	NDUFAF7
11034	NDUFB1
11035	NDUFB10
11036	NDUFB11
11037	NDUFB2
11038	NDUFB3
11039	NDUFB4
11040	NDUFB5
11041	NDUFB6
11042	NDUFB7
11043	NDUFB8
11044	NDUFB9
11045	NDUFC1
11046	NDUFC2
11047	NDUFC2-KCTD14
11048	NDUFS1
11049	NDUFS2
11050	NDUFS3
11051	NDUFS4
11052	NDUFS5
11053	NDUFS6
11054	NDUFS7
11055	NDUFS8
11056	NDUFV1
11057	NDUFV2
11058	NDUFV3
11059	NEB
11060	NEBL
11061	NECAB1
11062	NECAB2
11063	NECAB3
11064	NECAP1
11065	NECAP2
11066	NEDD1
11067	NEDD4
11068	NEDD4L
11069	NEDD8
11070	NEDD8-MDP1
11071	NEDD9
11072	NEFH
11073	NEFL
11074	NEFM
11075	NEGR1
11076	NEIL1
11077	NEIL2
11078	NEIL3
11079	NEK1
11080	NEK10
11081	NEK11
11082	NEK2
11083	NEK3
11084	NEK4
11085	NEK5
11086	NEK6
11087	NEK7
11088	NEK8
11089	NEK9
11090	NELFA
11091	NELFB
11092	NELFCD
11093	NELFE
11094	NELL1
11095	NELL2
11096	NEMF
11097	NEMP1
11098	NEMP2
11099	NENF
11100	NEO1
11101	NES
11102	NET1
11103	NETO1
11104	NETO2
11105	NEU1
11106	NEU2
11107	NEU3
11108	NEU4
11109	NEURL1
11110	NEURL1B
11111	NEURL2
11112	NEURL3
11113	NEURL4
11114	NEUROD1
11115	NEUROD2
11116	NEUROD4
11117	NEUROD6
11118	NEUROG1
11119	NEUROG2
11120	NEUROG3
11121	NEXN
11122	NF1
11123	NF2
11124	NFAM1
11125	NFASC
11126	NFAT5
11127	NFATC1
11128	NFATC2
11129	NFATC2IP
11130	NFATC3
11131	NFATC4
11132	NFE2
11133	NFE2L1
11134	NFE2L2
11135	NFE2L3
11136	NFIA
11137	NFIB
11138	NFIC
11139	NFIL3
11140	NFIX
11141	NFKB1
11142	NFKB2
11143	NFKBIA
11144	NFKBIB
11145	NFKBID
11146	NFKBIE
11147	NFKBIL1
11148	NFKBIZ
11149	NFRKB
11150	NFS1
11151	NFU1
11152	NFX1
11153	NFXL1
11154	NFYA
11155	NFYB
11156	NFYC
11157	NGB
11158	NGDN
11159	NGEF
11160	NGF
11161	NGFR
11162	NGFRAP1
11163	NGLY1
11164	NGRN
11165	NHEJ1
11166	NHLH1
11167	NHLH2
11168	NHLRC1
11169	NHLRC2
11170	NHLRC3
11171	NHLRC4
11172	NHP2
11173	NHP2L1
11174	NHS
11175	NHSL1
11176	NHSL2
11177	NICN1
11178	NID1
11179	NID2
11180	NIF3L1
11181	NIFK
11182	NIM1K
11183	NIN
11184	NINJ1
11185	NINJ2
11186	NINL
11187	NIP7
11188	NIPA1
11189	NIPA2
11190	NIPAL1
11191	NIPAL2
11192	NIPAL3
11193	NIPAL4
11194	NIPBL
11195	NIPSNAP1
11196	NIPSNAP3A
11197	NIPSNAP3B
11198	NISCH
11199	NIT1
11200	NIT2
11201	NKAIN1
11202	NKAIN2
11203	NKAIN3
11204	NKAIN4
11205	NKAP
11206	NKAPL
11207	NKD1
11208	NKD2
11209	NKG7
11210	NKIRAS1
11211	NKIRAS2
11212	NKPD1
11213	NKRF
11214	NKTR
11215	NKX1-1
11216	NKX1-2
11217	NKX2-1
11218	NKX2-2
11219	NKX2-3
11220	NKX2-4
11221	NKX2-5
11222	NKX2-6
11223	NKX2-8
11224	NKX3-1
11225	NKX3-2
11226	NKX6-1
11227	NKX6-2
11228	NKX6-3
11229	NLE1
11230	NLGN1
11231	NLGN2
11232	NLGN3
11233	NLGN4X
11234	NLGN4Y
11235	NLK
11236	NLN
11237	NLRC3
11238	NLRC4
11239	NLRC5
11240	NLRP1
11241	NLRP10
11242	NLRP11
11243	NLRP12
11244	NLRP13
11245	NLRP14
11246	NLRP2
11247	NLRP3
11248	NLRP4
11249	NLRP5
11250	NLRP6
11251	NLRP7
11252	NLRP8
11253	NLRP9
11254	NLRX1
11255	NMB
11256	NMBR
11257	NMD3
11258	NME1
11259	NME1-NME2
11260	NME2
11261	NME3
11262	NME4
11263	NME5
11264	NME6
11265	NME7
11266	NME8
11267	NME9
11268	NMI
11269	NMNAT1
11270	NMNAT2
11271	NMNAT3
11272	NMRAL1
11273	NMRK1
11274	NMRK2
11275	NMS
11276	NMT1
11277	NMT2
11278	NMU
11279	NMUR1
11280	NMUR2
11281	NNAT
11282	NNMT
11283	NNT
11284	NOA1
11285	NOB1
11286	NOBOX
11287	NOC2L
11288	NOC3L
11289	NOC4L
11290	NOD1
11291	NOD2
11292	NODAL
11293	NOG
11294	NOL10
11295	NOL11
11296	NOL12
11297	NOL3
11298	NOL4
11299	NOL4L
11300	NOL6
11301	NOL7
11302	NOL8
11303	NOL9
11304	NOLC1
11305	NOM1
11306	NOMO1
11307	NOMO2
11308	NOMO3
11309	NONO
11310	NOP10
11311	NOP14
11312	NOP16
11313	NOP2
11314	NOP56
11315	NOP58
11316	NOP9
11317	NOS1
11318	NOS1AP
11319	NOS2
11320	NOS3
11321	NOSIP
11322	NOSTRIN
11323	NOTCH1
11324	NOTCH2
11325	NOTCH2NL
11326	NOTCH3
11327	NOTCH4
11328	NOTO
11329	NOTUM
11330	NOV
11331	NOVA1
11332	NOVA2
11333	NOX1
11334	NOX3
11335	NOX4
11336	NOX5
11337	NOXA1
11338	NOXO1
11339	NOXRED1
11340	NPAP1
11341	NPAS1
11342	NPAS2
11343	NPAS3
11344	NPAS4
11345	NPAT
11346	NPB
11347	NPBWR1
11348	NPBWR2
11349	NPC1
11350	NPC1L1
11351	NPC2
11352	NPDC1
11353	NPEPL1
11354	NPEPPS
11355	NPFF
11356	NPFFR1
11357	NPFFR2
11358	NPHP1
11359	NPHP3
11360	NPHP3-ACAD11
11361	NPHP4
11362	NPHS1
11363	NPHS2
11364	NPIPA1
11365	NPIPA2
11366	NPIPA3
11367	NPIPA5
11368	NPIPA7
11369	NPIPA8
11370	NPIPB11
11371	NPIPB15
11372	NPIPB3
11373	NPIPB4
11374	NPIPB5
11375	NPIPB6
11376	NPIPB7
11377	NPIPB8
11378	NPIPB9
11379	NPL
11380	NPLOC4
11381	NPM1
11382	NPM2
11383	NPM3
11384	NPNT
11385	NPPA
11386	NPPB
11387	NPPC
11388	NPR1
11389	NPR2
11390	NPR3
11391	NPRL2
11392	NPRL3
11393	NPS
11394	NPSR1
11395	NPTN
11396	NPTX1
11397	NPTX2
11398	NPTXR
11399	NPVF
11400	NPW
11401	NPY
11402	NPY1R
11403	NPY2R
11404	NPY4R
11405	NPY5R
11406	NQO1
11407	NQO2
11408	NR0B1
11409	NR0B2
11410	NR1D1
11411	NR1D2
11412	NR1H2
11413	NR1H3
11414	NR1H4
11415	NR1I2
11416	NR1I3
11417	NR2C1
11418	NR2C2
11419	NR2C2AP
11420	NR2E1
11421	NR2E3
11422	NR2F1
11423	NR2F2
11424	NR2F6
11425	NR3C1
11426	NR3C2
11427	NR4A1
11428	NR4A2
11429	NR4A3
11430	NR5A1
11431	NR5A2
11432	NR6A1
11433	NRAP
11434	NRARP
11435	NRAS
11436	NRBF2
11437	NRBP1
11438	NRBP2
11439	NRCAM
11440	NRD1
11441	NRDE2
11442	NREP
11443	NRF1
11444	NRG1
11445	NRG2
11446	NRG3
11447	NRG4
11448	NRGN
11449	NRIP1
11450	NRIP2
11451	NRIP3
11452	NRK
11453	NRL
11454	NRM
11455	NRN1
11456	NRN1L
11457	NRP1
11458	NRP2
11459	NRROS
11460	NRSN1
11461	NRSN2
11462	NRTN
11463	NRXN1
11464	NRXN2
11465	NRXN3
11466	NSA2
11467	NSD1
11468	NSDHL
11469	NSF
11470	NSFL1C
11471	NSL1
11472	NSMAF
11473	NSMCE1
11474	NSMCE2
11475	NSMCE4A
11476	NSMF
11477	NSRP1
11478	NSUN2
11479	NSUN3
11480	NSUN4
11481	NSUN5
11482	NSUN6
11483	NSUN7
11484	NT5C
11485	NT5C1A
11486	NT5C1B
11487	NT5C1B-RDH14
11488	NT5C2
11489	NT5C3A
11490	NT5C3B
11491	NT5DC1
11492	NT5DC2
11493	NT5DC3
11494	NT5DC4
11495	NT5E
11496	NT5M
11497	NTAN1
11498	NTF3
11499	NTF4
11500	NTHL1
11501	NTM
11502	NTMT1
11503	NTN1
11504	NTN3
11505	NTN4
11506	NTN5
11507	NTNG1
11508	NTNG2
11509	NTPCR
11510	NTRK1
11511	NTRK2
11512	NTRK3
11513	NTS
11514	NTSR1
11515	NTSR2
11516	NUAK1
11517	NUAK2
11518	NUB1
11519	NUBP1
11520	NUBP2
11521	NUBPL
11522	NUCB1
11523	NUCB2
11524	NUCKS1
11525	NUDC
11526	NUDCD1
11527	NUDCD2
11528	NUDCD3
11529	NUDT1
11530	NUDT10
11531	NUDT11
11532	NUDT12
11533	NUDT13
11534	NUDT14
11535	NUDT15
11536	NUDT16
11537	NUDT16L1
11538	NUDT17
11539	NUDT18
11540	NUDT19
11541	NUDT2
11542	NUDT21
11543	NUDT22
11544	NUDT3
11545	NUDT4
11546	NUDT5
11547	NUDT6
11548	NUDT7
11549	NUDT8
11550	NUDT9
11551	NUF2
11552	NUFIP1
11553	NUFIP2
11554	NUGGC
11555	NUMA1
11556	NUMB
11557	NUMBL
11558	NUP107
11559	NUP133
11560	NUP153
11561	NUP155
11562	NUP160
11563	NUP188
11564	NUP205
11565	NUP210
11566	NUP210L
11567	NUP214
11568	NUP35
11569	NUP37
11570	NUP43
11571	NUP50
11572	NUP54
11573	NUP62
11574	NUP62CL
11575	NUP85
11576	NUP88
11577	NUP93
11578	NUP98
11579	NUPL1
11580	NUPL2
11581	NUPR1
11582	NUPR1L
11583	NUS1
11584	NUSAP1
11585	NUTF2
11586	NUTM1
11587	NUTM2A
11588	NUTM2B
11589	NUTM2D
11590	NUTM2E
11591	NUTM2F
11592	NUTM2G
11593	NVL
11594	NWD1
11595	NWD2
11596	NXF1
11597	NXF2
11598	NXF2B
11599	NXF3
11600	NXF5
11601	NXN
11602	NXNL1
11603	NXNL2
11604	NXPE1
11605	NXPE2
11606	NXPE3
11607	NXPE4
11608	NXPH1
11609	NXPH2
11610	NXPH3
11611	NXPH4
11612	NXT1
11613	NXT2
11614	NYAP1
11615	NYAP2
11616	NYNRIN
11617	NYX
11618	OAF
11619	OARD1
11620	OAS1
11621	OAS2
11622	OAS3
11623	OASL
11624	OAT
11625	OAZ1
11626	OAZ2
11627	OAZ3
11628	OBFC1
11629	OBP2A
11630	OBP2B
11631	OBSCN
11632	OBSL1
11633	OC90
11634	OCA2
11635	OCEL1
11636	OCIAD1
11637	OCIAD2
11638	OCLM
11639	OCLN
11640	OCM
11641	OCM2
11642	OCRL
11643	OCSTAMP
11644	ODAM
11645	ODC1
11646	ODF1
11647	ODF2
11648	ODF2L
11649	ODF3
11650	ODF3B
11651	ODF3L1
11652	ODF3L2
11653	ODF4
11654	OFCC1
11655	OFD1
11656	OGDH
11657	OGDHL
11658	OGFOD1
11659	OGFOD2
11660	OGFOD3
11661	OGFR
11662	OGFRL1
11663	OGG1
11664	OGN
11665	OGT
11666	OIP5
11667	OIT3
11668	OLA1
11669	OLAH
11670	OLFM1
11671	OLFM2
11672	OLFM3
11673	OLFM4
11674	OLFML1
11675	OLFML2A
11676	OLFML2B
11677	OLFML3
11678	OLIG1
11679	OLIG2
11680	OLIG3
11681	OLR1
11682	OMA1
11683	OMD
11684	OMG
11685	OMP
11686	ONECUT1
11687	ONECUT2
11688	ONECUT3
11689	OOEP
11690	OOSP2
11691	OPA1
11692	OPA3
11693	OPALIN
11694	OPCML
11695	OPHN1
11696	OPLAH
11697	OPN1LW
11698	OPN1MW
11699	OPN1MW2
11700	OPN1SW
11701	OPN3
11702	OPN4
11703	OPN5
11704	OPRD1
11705	OPRK1
11706	OPRL1
11707	OPRM1
11708	OPTC
11709	OPTN
11710	OR10A2
11711	OR10A3
11712	OR10A4
11713	OR10A5
11714	OR10A6
11715	OR10A7
11716	OR10AD1
11717	OR10AG1
11718	OR10C1
11719	OR10D3
11720	OR10G2
11721	OR10G3
11722	OR10G4
11723	OR10G6
11724	OR10G7
11725	OR10G8
11726	OR10G9
11727	OR10H1
11728	OR10H2
11729	OR10H3
11730	OR10H4
11731	OR10H5
11732	OR10J1
11733	OR10J3
11734	OR10J5
11735	OR10K1
11736	OR10K2
11737	OR10P1
11738	OR10Q1
11739	OR10R2
11740	OR10S1
11741	OR10T2
11742	OR10V1
11743	OR10W1
11744	OR10X1
11745	OR10Z1
11746	OR11A1
11747	OR11G2
11748	OR11H1
11749	OR11H12
11750	OR11H2
11751	OR11H4
11752	OR11H6
11753	OR11L1
11754	OR12D2
11755	OR12D3
11756	OR13A1
11757	OR13C2
11758	OR13C3
11759	OR13C4
11760	OR13C5
11761	OR13C8
11762	OR13C9
11763	OR13D1
11764	OR13F1
11765	OR13G1
11766	OR13H1
11767	OR13J1
11768	OR14A16
11769	OR14A2
11770	OR14C36
11771	OR14I1
11772	OR14J1
11773	OR14K1
11774	OR1A1
11775	OR1A2
11776	OR1B1
11777	OR1C1
11778	OR1D2
11779	OR1D5
11780	OR1E1
11781	OR1E2
11782	OR1F1
11783	OR1G1
11784	OR1I1
11785	OR1J1
11786	OR1J2
11787	OR1J4
11788	OR1K1
11789	OR1L1
11790	OR1L3
11791	OR1L4
11792	OR1L6
11793	OR1L8
11794	OR1M1
11795	OR1N1
11796	OR1N2
11797	OR1Q1
11798	OR1S1
11799	OR1S2
11800	OR2A1
11801	OR2A12
11802	OR2A14
11803	OR2A2
11804	OR2A25
11805	OR2A4
11806	OR2A42
11807	OR2A5
11808	OR2A7
11809	OR2AE1
11810	OR2AG1
11811	OR2AG2
11812	OR2AJ1
11813	OR2AK2
11814	OR2AP1
11815	OR2AT4
11816	OR2B11
11817	OR2B2
11818	OR2B3
11819	OR2B6
11820	OR2C1
11821	OR2C3
11822	OR2D2
11823	OR2D3
11824	OR2F1
11825	OR2F2
11826	OR2G2
11827	OR2G3
11828	OR2G6
11829	OR2H1
11830	OR2H2
11831	OR2J1
11832	OR2J2
11833	OR2J3
11834	OR2K2
11835	OR2L13
11836	OR2L2
11837	OR2L3
11838	OR2L5
11839	OR2L8
11840	OR2M2
11841	OR2M3
11842	OR2M4
11843	OR2M5
11844	OR2M7
11845	OR2S2
11846	OR2T1
11847	OR2T10
11848	OR2T11
11849	OR2T12
11850	OR2T2
11851	OR2T27
11852	OR2T29
11853	OR2T3
11854	OR2T33
11855	OR2T34
11856	OR2T35
11857	OR2T4
11858	OR2T5
11859	OR2T6
11860	OR2T7
11861	OR2T8
11862	OR2V1
11863	OR2V2
11864	OR2W1
11865	OR2W3
11866	OR2Y1
11867	OR2Z1
11868	OR3A1
11869	OR3A2
11870	OR3A3
11871	OR4A15
11872	OR4A16
11873	OR4A47
11874	OR4A5
11875	OR4B1
11876	OR4C11
11877	OR4C12
11878	OR4C13
11879	OR4C15
11880	OR4C16
11881	OR4C3
11882	OR4C46
11883	OR4C5
11884	OR4C6
11885	OR4D1
11886	OR4D10
11887	OR4D11
11888	OR4D2
11889	OR4D5
11890	OR4D6
11891	OR4D9
11892	OR4E2
11893	OR4F15
11894	OR4F16
11895	OR4F17
11896	OR4F21
11897	OR4F29
11898	OR4F3
11899	OR4F4
11900	OR4F5
11901	OR4F6
11902	OR4K1
11903	OR4K13
11904	OR4K14
11905	OR4K15
11906	OR4K17
11907	OR4K2
11908	OR4K5
11909	OR4L1
11910	OR4M1
11911	OR4M2
11912	OR4N2
11913	OR4N4
11914	OR4N5
11915	OR4P4
11916	OR4Q2
11917	OR4Q3
11918	OR4S1
11919	OR4S2
11920	OR4X1
11921	OR4X2
11922	OR51A2
11923	OR51A4
11924	OR51A7
11925	OR51B2
11926	OR51B4
11927	OR51B5
11928	OR51B6
11929	OR51D1
11930	OR51E1
11931	OR51E2
11932	OR51F1
11933	OR51F2
11934	OR51G1
11935	OR51G2
11936	OR51H1
11937	OR51I1
11938	OR51I2
11939	OR51J1
11940	OR51L1
11941	OR51M1
11942	OR51Q1
11943	OR51S1
11944	OR51T1
11945	OR51V1
11946	OR52A1
11947	OR52A5
11948	OR52B2
11949	OR52B4
11950	OR52B6
11951	OR52D1
11952	OR52E2
11953	OR52E4
11954	OR52E5
11955	OR52E6
11956	OR52E8
11957	OR52H1
11958	OR52I1
11959	OR52I2
11960	OR52J3
11961	OR52K1
11962	OR52K2
11963	OR52L1
11964	OR52M1
11965	OR52N1
11966	OR52N2
11967	OR52N4
11968	OR52N5
11969	OR52R1
11970	OR52W1
11971	OR56A1
11972	OR56A3
11973	OR56A4
11974	OR56A5
11975	OR56B1
11976	OR56B4
11977	OR5A1
11978	OR5A2
11979	OR5AC2
11980	OR5AK2
11981	OR5AN1
11982	OR5AP2
11983	OR5AR1
11984	OR5AS1
11985	OR5AU1
11986	OR5B12
11987	OR5B17
11988	OR5B2
11989	OR5B21
11990	OR5B3
11991	OR5C1
11992	OR5D13
11993	OR5D14
11994	OR5D16
11995	OR5D18
11996	OR5F1
11997	OR5H1
11998	OR5H14
11999	OR5H15
12000	OR5H2
12001	OR5H6
12002	OR5I1
12003	OR5J2
12004	OR5K1
12005	OR5K2
12006	OR5K3
12007	OR5K4
12008	OR5L1
12009	OR5L2
12010	OR5M1
12011	OR5M10
12012	OR5M11
12013	OR5M3
12014	OR5M8
12015	OR5M9
12016	OR5P2
12017	OR5P3
12018	OR5R1
12019	OR5T1
12020	OR5T2
12021	OR5T3
12022	OR5V1
12023	OR5W2
12024	OR6A2
12025	OR6B1
12026	OR6B2
12027	OR6B3
12028	OR6C1
12029	OR6C2
12030	OR6C3
12031	OR6C4
12032	OR6C6
12033	OR6C65
12034	OR6C68
12035	OR6C70
12036	OR6C74
12037	OR6C75
12038	OR6C76
12039	OR6F1
12040	OR6J1
12041	OR6K2
12042	OR6K3
12043	OR6K6
12044	OR6M1
12045	OR6N1
12046	OR6N2
12047	OR6P1
12048	OR6Q1
12049	OR6S1
12050	OR6T1
12051	OR6V1
12052	OR6X1
12053	OR6Y1
12054	OR7A10
12055	OR7A17
12056	OR7A5
12057	OR7C1
12058	OR7C2
12059	OR7D2
12060	OR7D4
12061	OR7E24
12062	OR7G1
12063	OR7G2
12064	OR7G3
