	Gene
807	AL513523.2
808	AL589743.1
809	AL591806.1
810	AL592183.1
811	AL596220.1
812	AL645728.1
813	AL645922.1
814	AL645927.1
815	AL662796.1
816	AL662852.1
817	AL929561.1
818	ALAD
819	ALAS1
820	ALAS2
821	ALB
822	ALCAM
823	ALDH16A1
824	ALDH18A1
825	ALDH1A1
826	ALDH1A2
827	ALDH1A3
828	ALDH1B1
829	ALDH1L1
830	ALDH1L2
831	ALDH2
832	ALDH3A1
833	ALDH3A2
834	ALDH3B1
835	ALDH3B2
836	ALDH4A1
837	ALDH5A1
838	ALDH6A1
839	ALDH7A1
840	ALDH8A1
841	ALDH9A1
842	ALDOA
843	ALDOB
844	ALDOC
845	ALG1
846	ALG10
847	ALG10B
848	ALG11
849	ALG12
850	ALG13
851	ALG14
852	ALG1L
853	ALG1L2
854	ALG2
855	ALG3
856	ALG5
857	ALG6
858	ALG8
859	ALG9
860	ALK
861	ALKBH1
862	ALKBH2
863	ALKBH3
864	ALKBH4
865	ALKBH5
866	ALKBH6
867	ALKBH7
868	ALKBH8
869	ALLC
870	ALMS1
871	ALOX12
872	ALOX12B
873	ALOX15
874	ALOX15B
875	ALOX5
876	ALOX5AP
877	ALOXE3
878	ALPI
879	ALPK1
880	ALPK2
881	ALPK3
882	ALPL
883	ALPP
884	ALPPL2
885	ALS2
886	ALS2CL
887	ALS2CR11
888	ALS2CR12
889	ALX1
890	ALX3
891	ALX4
892	ALYREF
893	AMACR
894	AMBN
895	AMBP
896	AMBRA1
897	AMD1
898	AMDHD1
899	AMDHD2
900	AMELX
901	AMELY
902	AMER1
903	AMER2
904	AMER3
905	AMFR
906	AMH
907	AMHR2
908	AMICA1
909	AMIGO1
910	AMIGO2
911	AMIGO3
912	AMMECR1
913	AMMECR1L
914	AMN
915	AMN1
916	AMOT
917	AMOTL1
918	AMOTL2
919	AMPD1
920	AMPD2
921	AMPD3
922	AMPH
923	AMT
924	AMTN
925	AMY1A
926	AMY1B
927	AMY1C
928	AMY2A
929	AMY2B
930	AMZ1
931	AMZ2
932	ANAPC1
933	ANAPC10
934	ANAPC11
935	ANAPC13
936	ANAPC15
937	ANAPC16
938	ANAPC2
939	ANAPC4
940	ANAPC5
941	ANAPC7
942	ANG
943	ANGEL1
944	ANGEL2
945	ANGPT1
946	ANGPT2
947	ANGPT4
948	ANGPTL1
949	ANGPTL2
950	ANGPTL3
951	ANGPTL4
952	ANGPTL5
953	ANGPTL6
954	ANGPTL7
955	ANHX
956	ANK1
957	ANK2
958	ANK3
959	ANKAR
960	ANKDD1A
961	ANKDD1B
962	ANKEF1
963	ANKFN1
964	ANKFY1
965	ANKH
966	ANKHD1
967	ANKHD1-EIF4EBP3
968	ANKIB1
969	ANKK1
970	ANKLE1
971	ANKLE2
972	ANKMY1
973	ANKMY2
974	ANKRA2
975	ANKRD1
976	ANKRD10
977	ANKRD11
978	ANKRD12
979	ANKRD13A
980	ANKRD13B
981	ANKRD13C
982	ANKRD13D
983	ANKRD16
984	ANKRD17
985	ANKRD18A
986	ANKRD18B
987	ANKRD2
988	ANKRD20A1
989	ANKRD20A2
990	ANKRD20A3
991	ANKRD20A4
992	ANKRD22
993	ANKRD23
994	ANKRD24
995	ANKRD26
996	ANKRD27
997	ANKRD28
998	ANKRD29
999	ANKRD30A
1000	ANKRD30B
1001	ANKRD30BL
1002	ANKRD31
1003	ANKRD32
1004	ANKRD33
1005	ANKRD33B
1006	ANKRD34A
1007	ANKRD34B
1008	ANKRD34C
1009	ANKRD35
1010	ANKRD36
1011	ANKRD36B
1012	ANKRD36C
