	ENSEMBL_ID
452	ENST00000476556.5
453	ENST00000400908.6
454	ENST00000505225.1
455	ENST00000488215.5
456	ENST00000464972.5
457	ENST00000514428.1
458	ENST00000468247.1
459	ENST00000234590.8
460	ENST00000497492.1
461	ENST00000489867.1
462	ENST00000549778.5
463	ENST00000480186.7
464	ENST00000377443.6
465	ENST00000377436.6
466	ENST00000377442.3
467	ENST00000400906.1
468	ENST00000377424.8
469	ENST00000377414.7
470	ENST00000484798.5
471	ENST00000474145.5
472	ENST00000479813.5
473	ENST00000486632.5
474	ENST00000487835.5
475	ENST00000464985.5
476	ENST00000473209.1
477	ENST00000377411.4
478	ENST00000465853.1
479	ENST00000377403.6
480	ENST00000602477.1
481	ENST00000328089.10
482	ENST00000450402.1
483	ENST00000357898.3
484	ENST00000377399.2
485	ENST00000302692.6
486	ENST00000340305.9
487	ENST00000340381.10
488	ENST00000416541.5
489	ENST00000536656.5
490	ENST00000628140.2
491	ENST00000377346.8
492	ENST00000543390.2
493	ENST00000361110.6
494	ENST00000377298.8
495	ENST00000435891.5
496	ENST00000361311.4
497	ENST00000623863.1
498	ENST00000377263.5
499	ENST00000400904.7
500	ENST00000377258.5
501	ENST00000377256.1
502	ENST00000488540.5
503	ENST00000377223.5
504	ENST00000400903.6
505	ENST00000377213.1
506	ENST00000403197.5
507	ENST00000377205.5
508	ENST00000496751.1
509	ENST00000294435.7
510	ENST00000253251.12
511	ENST00000377153.5
512	ENST00000343090.10
513	ENST00000470736.1
514	ENST00000377093.8
515	ENST00000263934.10
516	ENST00000377086.5
517	ENST00000377083.5
518	ENST00000377081.5
519	ENST00000620295.2
520	ENST00000622724.3
521	ENST00000491493.5
522	ENST00000270776.12
523	ENST00000483936.5
524	ENST00000465632.5
525	ENST00000460189.1
526	ENST00000602787.5
527	ENST00000400900.6
528	ENST00000470413.6
529	ENST00000602296.5
530	ENST00000602446.1
531	ENST00000309048.7
532	ENST00000477755.1
533	ENST00000377049.3
534	ENST00000377038.7
535	ENST00000377036.2
536	ENST00000356607.8
537	ENST00000491661.2
538	ENST00000377022.7
539	ENST00000447850.3
540	ENST00000344008.5
541	ENST00000418570.6
542	ENST00000377004.8
543	ENST00000468348.1
544	ENST00000520253.1
545	ENST00000473118.5
546	ENST00000240185.7
547	ENST00000629725.2
548	ENST00000476201.5
549	ENST00000621715.4
550	ENST00000315091.7
551	ENST00000621790.4
552	ENST00000616545.4
553	ENST00000622057.4
554	ENST00000617172.4
555	ENST00000610369.4
556	ENST00000612542.1
557	ENST00000400897.7
558	ENST00000400898.3
559	ENST00000376957.6
560	ENST00000490101.1
561	ENST00000465788.1
562	ENST00000487300.1
563	ENST00000304457.11
564	ENST00000376936.8
565	ENST00000376838.5
566	ENST00000361445.8
567	ENST00000455339.1
568	ENST00000376819.3
569	ENST00000376810.5
570	ENST00000376804.2
571	ENST00000483738.1
572	ENST00000294484.6
573	ENST00000304391.6
574	ENST00000354287.4
575	ENST00000465901.1
576	ENST00000251546.8
577	ENST00000425796.5
578	ENST00000376770.5
579	ENST00000376768.5
580	ENST00000251547.9
581	ENST00000376760.5
582	ENST00000376762.8
583	ENST00000475435.5
584	ENST00000471895.1
585	ENST00000376753.8
586	ENST00000449067.1
587	ENST00000235310.7
588	ENST00000376692.8
589	ENST00000376672.5
590	ENST00000376669.9
591	ENST00000376667.7
592	ENST00000445656.5
593	ENST00000456915.1
594	ENST00000294485.5
595	ENST00000376637.7
596	ENST00000400895.6
597	ENST00000376629.8
598	ENST00000376627.6
599	ENST00000314340.9
600	ENST00000452018.6
601	ENST00000510878.1
602	ENST00000433342.5
603	ENST00000312793.9
604	ENST00000444493.5
605	ENST00000449278.1
606	ENST00000376592.5
607	ENST00000376583.7
608	ENST00000376590.7
609	ENST00000376585.5
610	ENST00000418034.1
611	ENST00000413656.5
612	ENST00000423400.5
613	ENST00000431243.5
614	ENST00000376486.2
615	ENST00000312413.10
616	ENST00000346436.10
617	ENST00000376497.7
618	ENST00000376496.4
619	ENST00000376480.7
620	ENST00000610706.1
621	ENST00000376476.1
622	ENST00000376468.3
623	ENST00000376572.7
624	ENST00000616327.1
625	ENST00000376576.3
626	ENST00000449038.5
627	ENST00000429000.6
628	ENST00000196061.4
629	ENST00000444836.5
630	ENST00000235329.9
631	ENST00000412236.1
632	ENST00000235332.5
633	ENST00000417814.3
634	ENST00000263932.6
635	ENST00000413146.6
636	ENST00000536782.2
637	ENST00000376259.6
638	ENST00000620676.4
639	ENST00000613099.4
640	ENST00000011700.10
641	ENST00000543766.2
642	ENST00000616661.4
643	ENST00000464917.5
644	ENST00000430996.2
645	ENST00000376221.1
646	ENST00000359318.7
647	ENST00000614859.4
648	ENST00000376210.3
649	ENST00000357726.4
650	ENST00000332296.7
651	ENST00000619922.1
652	ENST00000617044.1
653	ENST00000317869.6
654	ENST00000240189.2
655	ENST00000235349.5
656	ENST00000235347.4
657	ENST00000616979.4
658	ENST00000330881.6
659	ENST00000415464.6
660	ENST00000376189.5
661	ENST00000613225.1
662	ENST00000436041.5
663	ENST00000622351.1
664	ENST00000621259.4
665	ENST00000624207.1
